Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/31ZPJBVdZFL.jpg,1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,"https://m.media-amazon.com/images/G/31/HomeCustomProduct/36._CB485971317_SX38_SY50_CR,0,0,38,50_FMpng_RI_.png",2,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/4178zFwF7DL.jpg,3,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/41RBJufUyGL.jpg,4,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/41VN1AtMZpL.jpg,5,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/316hvR-iAfL.jpg,6,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/31CfdpkX8cL.jpg,7,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B07WTXHQR1,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",<p></p>,Brand: Elegant Designs,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"9,658",,TRUE,TRUE,,https://m.media-amazon.com/images/I/31Yil+7XkhL.jpg,8,"Elegant Designs LT3334-WHT Textured Glass Table Lamp, White",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B09P6MCZY4,"Divine Trends Wood Pebble Table Lamp 19 Inches Height With 10 Inches Diameter Cream Jute Lamp Shade For Bedroom, Bedside, Living Room, Home Decoration, Hotel Pack Of 1 with Led Bulb",<p></p>,Visit the Divine Trends Store,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"2,550",,TRUE,TRUE,,https://m.media-amazon.com/images/I/31Zqo6ddCBL.jpg,1,"Divine Trends Wood Pebble Table Lamp 19 Inches Height With 10 Inches Diameter Cream Jute Lamp Shade For Bedroom, Bedside, Living Room, Home Decoration, Hotel Pack Of 1 with Led Bulb",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
B09P6MCZY4,"Divine Trends Wood Pebble Table Lamp 19 Inches Height With 10 Inches Diameter Cream Jute Lamp Shade For Bedroom, Bedside, Living Room, Home Decoration, Hotel Pack Of 1 with Led Bulb",<p></p>,Visit the Divine Trends Store,,Home & Kitchen,,TRUE,Title,Default Title,,,,,,,,10,deny,manual,"2,550",,TRUE,TRUE,,"https://m.media-amazon.com/images/I/61HJqimRULL._CR0,0,35,46_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg",2,"Divine Trends Wood Pebble Table Lamp 19 Inches Height With 10 Inches Diameter Cream Jute Lamp Shade For Bedroom, Bedside, Living Room, Home Decoration, Hotel Pack Of 1 with Led Bulb",FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
