Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,,KhaSI,Punjabi,Telegu,Konkani
1,Start page,Start page,आरंभ पृष्ठ,प्रारंभ पृष्ठ,ആരംഭ പേജ്,தொடக்க பக்கம்,شروع صفحہ,শুরু পাতা,আৰম্ভণি পৃষ্ঠা,પ્રારંભ પૃષ્ઠ,شروعات پيج,ಪ್ರಾರಂಭ ಪುಟ,ପ୍ରାରମ୍ଭ ପୃଷ୍ଠା,Ka sla sdang,ਸ਼ੁਰੂ ਸਫ਼ਾ,ప్రారంభ పేజీ,सुरवातीचें पान
2,Union Bank Business Loan anywhere anytime,Union Business Loan anywhere anytime,यूनियन बिज़नेस ऋण कहीं भी कभी भी,यूनियन बिज़नेस ऋण कधीही कुठेही,യൂണിയൻ ബിസിനസ് ലോൺ എവിടെയും എപ്പോൾ വേണമെങ്കിലും,யூனியன் தொழில் கடன் எங்கும் எப்போது வேண்டுமானாலும்,یونین بزنس لون کہیں بھی کسی بھی وقت,ইউনিয়ন বিজনেস লোন যে কোন জায়গায় যে কোন সময়,ইউনিয়ন বিজনেছ লোন যিকোনো ঠাইত যিকোনো সময়তে,યુનિયન બિઝનેસ લોન ગમે ત્યાં ગમે ત્યારે,کُنہِ تہِ ساتہٕ کُنہِ تہِ جایہِ چُھ یونین بزنس لون,ಯೂನಿಯನ್ ಬಿಸಿನೆಸ್ ಲೋನ್ ಎಲ್ಲಿಯಾದರೂ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ,କେବଳ ଯେକୌଣସି ସମୟରେ ୟୁନିଅନ୍ ବ୍ୟବସାୟ ଋଣ,Ka ram treikam jong ka Union Bank ha kano kano ka jaka ha kano kano ka por,ਯੂਨੀਅਨ ਬਿਜ਼ਨਸ ਲੋਨ ਕਿਤੇ ਵੀ ਕਿਸੇ ਵੀ ਸਮੇਂ,యూనియన్ బిజినెస్ లోన్ ఎక్కడైనా ఎప్పుడైనా,संघ वेवसाय रीण खंयच्याय सुवातेर खंयच्याय वेळार
3,Fully Digital Within 5 mins*,Fully digital within 5 minutes,5 मिनट के अंदर पूरी तरह से डिजिटल,5 मिनिटांच्या आत पूर्णपणे डिजिटल,5 മിനിറ്റിനുള്ളിൽ പൂർണ്ണമായും ഡിജിറ്റൽ,5 நிமிடங்களுக்குள் முற்றிலும் டிஜிட்டல்,5 منٹ سے کم میں مکمل طور پر ڈیجیٹل,5 মিনিটের মধ্যে সম্পূর্ণ ডিজিটাল,5 মিনিটৰ ভিতৰত সম্পূৰ্ণ ডিজিটেল,5 મિનિટની અંદર સંપૂર્ણપણે ડિજિટલ,پوری ڈیجیٹل 5 منٹس کے اندر,5 ನಿಮಿಷಗಳಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಡಿಜಿಟಲ್,୫ ମିନିଟ୍ ମଧ୍ୟରେ ସଂପୂର୍ଣ୍ଣ ଡିଜିଟାଲ୍,Digital ba pura hapoh 5 minit*,5 ਮਿੰਟ ਦੇ ਅੰਦਰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਡਿਜੀਟਲ,5 నిమిషాల్లోపు పూర్తిగా డిజిటల్,5 मिनटां सकयल पुरायपणान डिजिटल
4,Minimal documentation,Minimal documentation,न्यूनतम दस्तावेज़ीकरण,किमान दस्तऐवजीकरण,മിനിമം ഡോക്യുമെൻ്റേഷൻ,குறைந்தபட்ச ஆவணம்,کم سے کم دستاویزات,ন্যূনতম ডকুমেন্টেশন,নূন্যতম নথিপত্ৰ,ન્યૂનતમ દસ્તાવેજીકરણ,کم سے کم دستاویزات,ಕನಿಷ್ಠ ದಾಖಲೆ,ସର୍ବନିମ୍ନ ଡକ୍ୟୁମେଣ୍ଟେସନ୍,Ki kot ki sla kiba rit eh,ਘੱਟੋ-ਘੱਟ ਦਸਤਾਵੇਜ਼,కనీస డాక్యుమెంటేషన్,किमान दस्तावेजीकरण
5,Interest charged on daily reducing balance / Outstanding Amount.,Interest charged on the daily reducing balance or the outstanding amount.,दैनिक घटते शेष या बकाया राशि पर ब्याज लगाया जाता है।,दैनंदिन कमी होणारी शिल्लक किंवा थकबाकी रकमेवर व्याज आकारले जाते.,പ്രതിദിന ബാലൻസ് അല്ലെങ്കിൽ കുടിശ്ശിക തുക കുറയ്ക്കുന്നതിന് പലിശ ഈടാക്കുന്നു.,தினசரி குறைப்பு இருப்பு அல்லது நிலுவைத் தொகைக்கு வட்டி விதிக்கப்படுகிறது.,روزانہ کم کرنے والے بیلنس یا بقایا رقم پر سود وصول کیا جاتا ہے۔,দৈনিক হ্রাসকারী ব্যালেন্স বা বকেয়া পরিমাণের উপর সুদ নেওয়া হয়।,দৈনিক হ্ৰাস কৰা বেলেঞ্চ বা বাকী থকা ধনৰ ওপৰত লোৱা সুত।,દૈનિક ઘટાડતી બેલેન્સ અથવા બાકી રકમ પર વ્યાજ વસૂલવામાં આવે છે.,روزانہ کم ہونے والے بیلنس یا باقی رقم پر انٹرسٹ لگایا جاتا ہے,ದೈನಂದಿನ ಕಡಿತದ ಬಾಕಿ ಅಥವಾ ಬಾಕಿ ಮೊತ್ತದ ಮೇಲೆ ಬಡ್ಡಿಯನ್ನು ವಿಧಿಸಲಾಗುತ್ತದೆ.,ଦୈନିକ ହ୍ରାସ ପାଇଁ ବା ବକେୟା ରାଶି ଉପରେ ସୁଧ ଆଦାୟ କରାଯାଏ,Ka sut ba la shim na ka pisa ba la pynduna man ka sngi / Ka pisa ba dang sah.,ਰੋਜ਼ਾਨਾ ਘਟਾਉਣ ਵਾਲੀ ਬਕਾਇਆ ਰਾਸ਼ੀ ਜਾਂ ਬਕਾਇਆ ਰਕਮ 'ਤੇ ਵਿਆਜ ਵਸੂਲਿਆ ਜਾਂਦਾ ਹੈ।,రోజువారీ తగ్గింపు బ్యాలెన్స్ లేదా బకాయి మొత్తంపై వడ్డీ విధించబడుతుంది.,दर दिसा उणी करपी शिल्लक वा उरिल्ली रक्कम व्याज घेतात.
6,Easy sanction and disbursement,Easy sanction and disbursement,आसान स्वीकृति और संवितरण,सुलभ मंजुरी आणि वितरण,എളുപ്പത്തിലുള്ള അംഗീകാരവും വിതരണവും,எளிதான அனுமதி மற்றும் பணப்பரிமாற்றம்,آسان منظوری اور تقسیم,সহজ অনুমোদন ও টাকা বণ্টন,সহজ অনুমোদন আৰু বিতৰণ,સરળ મંજૂરી અને વિતરણ,آسان سنکشن اور ڈسبرسمنٹ,ಸುಲಭ ಮಂಜೂರಾತಿ ಮತ್ತು ವಿತರಣೆ,ସହଜ ଅନୁମୋଦନ ଏବଂ ବଣ୍ଟନ,Ka jingmynjur bad jingsiew kaba suk,ਆਸਾਨ ਮਨਜ਼ੂਰੀ ਅਤੇ ਵੰਡ,సులువు ఆమోదం మరియు పంపిణీ,सोपी मान्यताय आनी वितरण
7,Terms & conditions apply,Terms & Conditions apply,नियम एवं शर्तें लागू,अटी आणि शर्ती लागू,നിബന്ധനകളും വ്യവസ്ഥകളും ബാധകമാണ്,விதிமுறைகள் மற்றும் நிபந்தனைகள் பொருந்தும்,شرائط و ضوابط لاگو ہوتے ہیں۔,শর্তাবলী প্রযোজ্য,চৰ্ত আৰু নিয়ম প্ৰযোজ্য,નિયમો અને શરતો લાગુ,شرطوں اور شرائط کے مطابق,ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು ಅನ್ವಯಿಸುತ್ತವೆ,ଶରତ୍ ଏବଂ ନିୟମ ପ୍ରଯୋଜ୍ୟ,Ki kyndon bad jingpynbeit ki treikam,ਨਿਯਮ ਅਤੇ ਸ਼ਰਤਾਂ ਲਾਗੂ ਹਨ,నిబంధనలు మరియు షరతులు వర్తిస్తాయి,नेम आनी अटी लागू जातात
8,All you need is,All you need is,आपको चाहिए सिर्फ़:,आपल्याला फक्त आवश्यक आहे:,നിങ്ങൾക്ക് വേണ്ടത് ഇതാണ്:,உங்களுக்கு தேவையானது:,آپ سب کی ضرورت ہے:,আপনার যা দরকার তা হল:,প্ৰয়োজন মাথোঁ...,તમારે ફક્ત આની જરૂર છે:,آپ کو صرف چاہیے,ನಿಮಗೆ ಬೇಕಾಗಿರುವುದು:,ତୁମକୁ କେବଳ ଦରକାର:,Baroh kaba phi donkam ka long,ਤੁਹਾਨੂੰ ਸਿਰਫ਼ ਲੋੜ ਹੈ:,మీకు కావలసిందల్లా:,तुमकां फकत जाय:
9,UDYAM Registration Number,UDYAM Registration Number,उद्यम पंजीकरण संख्या,उदयम नोंदणी संख्या,ഉദ്യം രജിസ്ട്രേഷൻ നമ്പർ,உத்யம் பதிவு எண்,ادیم رجسٹریشن نمبر,উদ্যম রেজিস্ট্রেশন নম্বর,UDYAM পঞ্জীয়ন নম্বৰ,ઉદયમ નોંધણી નંબર,یو ڈی وائی اے ایم رجسٹریشن نمبر,ಉದ್ಯಮ ನೋಂದಣಿ ಸಂಖ್ಯೆ,ଉଦୟମ ପଞ୍ଜୀକରଣ ସଂଖ୍ୟା,U nombar pynrung kyrteng jong ka UDYAM,ਉਦਯਮ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਨੰਬਰ,ఉద్యమ్ నమోదు సంఖ్య,उदयम नोंदणी क्रमांक
