Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,Odiya,KhaSI,Punjabi,Telegu,Konkani
E00,Enter All Fields,Please enter your information in all the required fields.,कृपया सभी आवश्यक फ़ील्ड में अपनी जानकारी दर्ज करें।,कृपया सर्व आवश्यक फील्डमध्ये तुमची माहिती प्रविष्ट करा.,ആവശ്യമായ എല്ലാ ഫീൽഡുകളിലും നിങ്ങളുടെ വിവരങ്ങൾ നൽകുക.,தேவையான அனைத்து புலங்களிலும் உங்கள் தகவலை உள்ளிடவும்.,براہ کرم تمام مطلوبہ شعبوں میں اپنی معلومات درج کریں۔,সমস্ত প্রয়োজনীয় ক্ষেত্রে আপনার তথ্য লিখুন.,সকলো প্ৰয়োজনীয় ক্ষেত্ৰত আপোনাৰ তথ্য সন্নিবিষ্ট কৰক।,કૃપા કરીને તમામ જરૂરી ફીલ્ડમાં તમારી માહિતી દાખલ કરો.,مہربانی کرکے تمام لازم فیلڈز میں اپنی معلومات درج کریں۔,ದಯವಿಟ್ಟು ಅಗತ್ಯವಿರುವ ಎಲ್ಲಾ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ.,ସମସ୍ତ ଆବଶ୍ୟକୀୟ କ୍ଷେତ୍ରରେ ଦୟାକରି ଆପଣଙ୍କର ସୂଚନା ପ୍ରବେଶ କରନ୍ତୁ |,Sngewbha pynrung ia ki jingtip jong phi ha baroh ki jaka ba donkam.,ਕਿਰਪਾ ਕਰਕੇ ਸਾਰੇ ਲੋੜੀਂਦੇ ਖੇਤਰਾਂ ਵਿੱਚ ਆਪਣੀ ਜਾਣਕਾਰੀ ਦਰਜ ਕਰੋ।,దయచేసి అవసరమైన అన్ని ఫీల్డ్‌లలో మీ సమాచారాన్ని నమోదు చేయండి.,उपकार करून तुमची म्हायती सगळ्या गरजेच्या क्षेत्रांनी घालची.
E01,Error Occurred,Error!,त्रुटि!,त्रुटी!,പിശക്!,பிழை!,غلطی!,ত্রুটি!,আঁসোৱাহ!,ભૂલ!,غلطی!,ದೋಷ!,ତ୍ରୁଟି!,Jingbakla!,ਗਲਤੀ!,లోపం!,त्रुटि!
E02,Device With This DeviceUID Already Exists.,A Device with this Device UID already exists.,इस डिवाइस यूआईडी वाला एक डिवाइस पहले से मौजूद है।,या डिव्हाइस यूआयडी असलेले डिव्हाइस आधीपासून अस्तित्वात आहे.,ഈ ഉപകരണ യുഐഡി ഉള്ള ഒരു ഉപകരണം ഇതിനകം നിലവിലുണ്ട്.,இந்தச் சாதன யூஐடி கொண்ட சாதனம் ஏற்கனவே உள்ளது.,اس آلہ کی یوآئیڈی والا آلہ پہلے سے موجود ہے۔,এই ডিভাইস ইউআইডি সহ একটি ডিভাইস ইতিমধ্যেই বিদ্যমান।,এই ডিভাইচ ইউআইডি থকা এটা ডিভাইচ ইতিমধ্যে আছে।,આ ઉપકરણ યુઆઈડી સાથેનું ઉપકરણ પહેલેથી જ અસ્તિત્વમાં છે.,اس ڈیوائس یو آئی ڈی والا ایک ڈیوائس پہلے ہی موجود ہے۔,ಈ ಸಾಧನದ ಯುಐಡಿ ಹೊಂದಿರುವ ಸಾಧನವು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.,ଏହି ଡିଭାଇସ୍ ୟୁଆଇଡି ସହିତ ଏକ ଉପକରଣ ପୂର୍ବରୁ ବିଦ୍ୟମାନ ଅଛି |,Ka Device kaba don ia kane ka Device UID ka lah don lypa.,ਇਸ ਡਿਵਾਈਸ ਨਾਲ ਇੱਕ ਡਿਵਾਈਸ ਯੂਆਈਡੀ ਪਹਿਲਾਂ ਹੀ ਮੌਜੂਦ ਹੈ।,ఈ పరికర యూఐడీతో ఉన్న పరికరం ఇప్పటికే ఉంది.,ह्या डिव्हायस यूआयडी आशिल्लें डिव्हायस पयलींच अस्तित्वांत आसा.
E03,Error While Updating Silent SMS Status For The Device.,An error occurred while updating the silent SMS status for this device. Please try again later or visit your Preferred Branch for assistance.,इस डिवाइस के लिए साइलेंट एसएमएस स्थिति अपतारीख करते समय एक त्रुटि उत्पन्न हुई। कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,या डिव्हाइससाठी मूक एसएमएस स्थिती अद्यतनित करताना एक त्रुटी आली. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,ഈ ഉപകരണത്തിനായുള്ള നിശബ്ദ എസ്എംഎസ് നില അപ്‌ഡേറ്റ് ചെയ്യുമ്പോൾ ഒരു പിശക് സംഭവിച്ചു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,இந்தச் சாதனத்திற்கான அமைதியான எஸ்எம்எஸ் நிலையைப் புதுப்பிக்கும்போது பிழை ஏற்பட்டது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு உங்கள் விருப்பமான கிளைக்குச் செல்லவும்.,اس ڈیوائس کے لیے خاموش ایس ایم ایس اسٹیٹس کو اپ ڈیٹ کرتے وقت ایک خرابی پیش آگئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,এই ডিভাইসের জন্য নীরব এসএমএস স্থিতি আপডেট করার সময় একটি ত্রুটি ঘটেছে৷ অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,এই ডিভাইচৰ বাবে নিৰৱ এছএমএছ অৱস্থা আপডেইট কৰাৰ সময়ত এটা ভুল হৈছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,આ ઉપકરણ માટે સાયલન્ટ એસએમએસ સ્થિતિ અપડેટ કરતી વખતે એક ભૂલ આવી. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,اس ڈیوائس کے لیے خاموش ایس ایم ایس کی حیثیت کو اپ ڈیٹ کرتے وقت ایک غلطی ہوئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ಈ ಸಾಧನಕ್ಕಾಗಿ ಸೈಲೆಂಟ್ ಎಸ್ಎಂಎಸ್ ಸ್ಥಿತಿಯನ್ನು ನವೀಕರಿಸುವಾಗ ದೋಷ ಸಂಭವಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଏହି ଉପକରଣ ପାଇଁ ନୀରବ ଏସଏମଏସ ସ୍ଥିତିକୁ ଅଦ୍ୟତନ କରିବା ସମୟରେ ଏକ ତ୍ରୁଟି ଘଟିଗଲା | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka jingbakla ka la jia katba dang pynthymmai ia ka jinglong jong ka SMS ba sngap jar na ka bynta kane ka tiar. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਇਸ ਡਿਵਾਈਸ ਲਈ ਚੁੱਪ ਐੱਸਐੱਮਐੱਸ ਸਥਿਤੀ ਨੂੰ ਅੱਪਡੇਟ ਕਰਨ ਦੌਰਾਨ ਇੱਕ ਤਰੁੱਟੀ ਉਤਪੰਨ ਹੋਈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,ఈ పరికరం కోసం సైలెంట్ ఎస్ఎంఎస్ స్థితిని నవీకరిస్తున్నప్పుడు లోపం సంభవించింది. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,ह्या डिव्हायसा खातीर मूक एसएमएस स्थिती अद्ययावत करतना त्रुटी जाली. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E04,Error In Fetching Device.,An error occurred while searching for this Device. Please try again later or visit your Preferred Branch for assistance.,इस डिवाइस को खोजते समय एक त्रुटि उत्पन्न हुई. कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,या डिव्हाइसचा शोध घेत असताना एक त्रुटी आली. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,ഈ ഉപകരണം തിരയുമ്പോൾ ഒരു പിശക് സംഭവിച്ചു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,இந்தச் சாதனத்தைத் தேடும் போது பிழை ஏற்பட்டது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு நீங்கள் விரும்பும் கிளைக்குச் செல்லவும்.,اس ڈیوائس کی تلاش کے دوران ایک خرابی پیش آگئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,এই ডিভাইসটি অনুসন্ধান করার সময় একটি ত্রুটি ঘটেছে৷ অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,এই ডিভাইচটো সন্ধান কৰাৰ সময়ত এটা ভুল হৈছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,આ ઉપકરણની શોધ કરતી વખતે એક ભૂલ આવી. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,اس ڈیوائس کو تلاش کرتے وقت ایک غلطی ہوئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ಈ ಸಾಧನವನ್ನು ಹುಡುಕುತ್ತಿರುವಾಗ ದೋಷ ಸಂಭವಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଏହି ଉପକରଣ ଖୋଜିବା ସମୟରେ ଏକ ତ୍ରୁଟି ଘଟିଗଲା | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka jingbakla ka la jia haba wad ia kane ka Device. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਇਸ ਡਿਵਾਈਸ ਦੀ ਖੋਜ ਕਰਦੇ ਸਮੇਂ ਇੱਕ ਤਰੁੱਟੀ ਉਤਪੰਨ ਹੋਈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,ఈ పరికరం కోసం శోధిస్తున్నప్పుడు లోపం సంభవించింది. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,हें साधन सोदतना त्रुटी जाली. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E05,Device not found.,This Device was not found.,यह डिवाइस नहीं मिला.,हे डिवाइस आढळले नाही.,ഈ ഉപകരണം കണ്ടെത്തിയില്ല.,இந்த சாதனம் கிடைக்கவில்லை.,یہ آلہ نہیں ملا۔,এই ডিভাইস পাওয়া যায়নি.,এই যন্ত্ৰটো পোৱা নগ’ল।,આ ઉપકરણ મળ્યું નથી.,یہ ڈیوائس نہیں ملا۔,ಈ ಸಾಧನ ಕಂಡುಬಂದಿಲ್ಲ.,ଏହି ଉପକରଣ ମିଳିଲା ନାହିଁ |,Kane ka Device kam shym la lap.,ਇਹ ਡਿਵਾਈਸ ਨਹੀਂ ਮਿਲੀ।,ఈ పరికరం కనుగొనబడలేదు.,हें साधन मेळूंक ना.
E06,Error While Checking Mobile Registration,An error occurred while checking the Mobile Registration for this Device. Please try again later or visit your Preferred Branch for assistance.,इस डिवाइस के लिए मोबाइल पंजीकरण की जाँच करते समय एक त्रुटि उत्पन्न हुई। कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,या डिव्हाइससाठी मोबाइल नोंदणी तपासताना एक त्रुटी आली. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,ഈ ഉപകരണത്തിനായുള്ള മൊബൈൽ രജിസ്ട്രേഷൻ പരിശോധിക്കുമ്പോൾ ഒരു പിശക് സംഭവിച്ചു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,இந்தச் சாதனத்திற்கான மொபைல் பதிவைச் சரிபார்க்கும் போது பிழை ஏற்பட்டது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு நீங்கள் விரும்பும் கிளைக்குச் செல்லவும்.,اس ڈیوائس کے لیے موبائل رجسٹریشن چیک کرتے وقت ایک خرابی پیش آگئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,এই ডিভাইসের জন্য মোবাইল রেজিস্ট্রেশন চেক করার সময় একটি ত্রুটি ঘটেছে৷ অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,এই ডিভাইচৰ বাবে মোবাইল পঞ্জীয়ন পৰীক্ষা কৰাৰ সময়ত এটা ভুল হৈছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,આ ઉપકરણ માટે મોબાઇલ નોંધણી તપાસતી વખતે એક ભૂલ આવી. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,اس ڈیوائس کے لیے موبائل رجسٹریشن کی جانچ کرتے وقت ایک غلطی ہوئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ಈ ಸಾಧನಕ್ಕಾಗಿ ಮೊಬೈಲ್ ನೋಂದಣಿಯನ್ನು ಪರಿಶೀಲಿಸುವಾಗ ದೋಷ ಸಂಭವಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଏହି ଡିଭାଇସ୍ ପାଇଁ ମୋବାଇଲ୍ ପଞ୍ଜିକରଣ ଯାଞ୍ଚ କରିବା ସମୟରେ ଏକ ତ୍ରୁଟି ଘଟିଗଲା | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka jingbakla ka la jia haba check ia ka Mobile Registration na ka bynta kane ka Device. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਇਸ ਡਿਵਾਈਸ ਲਈ ਮੋਬਾਈਲ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਦੀ ਜਾਂਚ ਕਰਦੇ ਸਮੇਂ ਇੱਕ ਤਰੁੱਟੀ ਉਤਪੰਨ ਹੋਈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,ఈ పరికరం కోసం మొబైల్ రిజిస్ట్రేషన్‌ని తనిఖీ చేస్తున్నప్పుడు లోపం సంభవించింది. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,ह्या डिव्हायसा खातीर मोबायल नोंदणी तपासतना त्रुटी जाली. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E07,Unable to send SMS from your Mobile Number. Kindly check your network and try again later.,Were you unable to send an SMS from your Mobile Number? Please check your network and try again later.,क्या आप अपनी मोबाइल संख्या से एसएमएस भेजने में असमर्थ रहे? कृपया अपना नेटवर्क जांचें और बाद में पुनः प्रयास करें।,तुम्ही तुमच्या मोबाईल संख्यावरून एसएमएस पाठवू शकत नाही? कृपया तुमचे नेटवर्क तपासा आणि नंतर पुन्हा प्रयत्न करा.,നിങ്ങളുടെ മൊബൈൽ നമ്പറിൽ നിന്ന് എസ്എംഎസ് അയക്കാൻ കഴിയുന്നില്ലേ? നിങ്ങളുടെ നെറ്റ്‌വർക്ക് പരിശോധിച്ച് പിന്നീട് വീണ്ടും ശ്രമിക്കുക.,"உங்கள் மொபைல் எண்ணிலிருந்து எஸ்எம்எஸ் அனுப்ப முடியவில்லையா? உங்கள் நெட்வொர்க்கைச் சரிபார்த்து, பிறகு முயற்சிக்கவும்.",کیا آپ اپنے موبائل نمبر سے ایس ایم ایس بھیجنے سے قاصر ہیں؟ براہ کرم اپنا نیٹ ورک چیک کریں اور بعد میں دوبارہ کوشش کریں۔,আপনি কি আপনার মোবাইল নম্বর থেকে এসএমএস পাঠাতে অক্ষম? অনুগ্রহ করে আপনার নেটওয়ার্ক চেক করুন এবং পরে আবার চেষ্টা করুন।,মোবাইল নম্বৰৰ পৰা এছএমএছ পঠিয়াব পৰা নাই নেকি? অনুগ্ৰহ কৰি আপোনাৰ নে'টৱৰ্ক পৰীক্ষা কৰক আৰু পিছত পুনৰ চেষ্টা কৰক।,શું તમે તમારા મોબાઈલ નંબર પરથી એસએમએસ મોકલી શકતા નથી? કૃપા કરીને તમારું નેટવર્ક તપાસો અને પછીથી ફરી પ્રયાસ કરો.,کیا آپ اپنی موبائل نمبر سے ایس ایم ایس بھیجنے میں ناکام رہے؟ براہ کرم اپنا نیٹ ورک چیک کریں اور بعد میں دوبارہ کوشش کریں۔,ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯಿಂದ ಎಸ್ಎಂಎಸ್ ಕಳುಹಿಸಲು ನಿಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲವೇ? ದಯವಿಟ್ಟು ನಿಮ್ಮ ನೆಟ್‌ವರ್ಕ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ଆପଣ ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବରରୁ ଏସଏମଏସ ପଠାଇବାକୁ ଅସମର୍ଥ କି? ଦୟାକରି ଆପଣଙ୍କର ନେଟୱାର୍କ ଯାଞ୍ଚ କରନ୍ତୁ ଏବଂ ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ |,Hato phim lah ban phah SMS na ka Mobile Number jong phi? Sngewbha check bha ia ka network jong phi bad pyrshang biang hadien.,ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਤੋਂ ਐੱਸਐੱਮਐੱਸ ਭੇਜਣ ਵਿੱਚ ਅਸਮਰੱਥ ਹੋ? ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਨੈੱਟਵਰਕ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,"మీరు మీ మొబైల్ నంబర్ నుండి ఎస్ఎంఎస్ పంపలేకపోతున్నారా? దయచేసి మీ నెట్‌వర్క్‌ని తనిఖీ చేసి, తర్వాత మళ్లీ ప్రయత్నించండి.",तुमकां तुमच्या मोबायल संख्यााचेर एसएमएस धाडपाक मेळना? उपकार करून तुमचें नेटवर्क तपासात आनी फुडें परतून यत्न करात.
E08,Error While User Registration,An error occurred during User Registration. Please try again later or visit your Preferred Branch for assistance.,उपयोगकर्ता पंजीकरण के दौरान एक त्रुटि उत्पन्न हुई. कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,वापरकर्ता नोंदणी दरम्यान एक त्रुटी आली. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,ഉപയോക്തൃ രജിസ്ട്രേഷൻ സമയത്ത് ഒരു പിശക് സംഭവിച്ചു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,பயனர் பதிவின் போது பிழை ஏற்பட்டது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு நீங்கள் விரும்பும் கிளைக்குச் செல்லவும்.,صارف کے اندراج کے دوران ایک خرابی پیش آگئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,ব্যবহারকারী নিবন্ধনের সময় একটি ত্রুটি ঘটেছে৷ অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,ব্যৱহাৰকাৰী পঞ্জীয়নৰ সময়ত এটা ভুল হৈছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,વપરાશકર્તા નોંધણી દરમિયાન એક ભૂલ આવી. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,صارف کی رجسٹریشن کے دوران ایک غلطی ہوئی۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ಬಳಕೆದಾರರ ನೋಂದಣಿ ಸಮಯದಲ್ಲಿ ದೋಷ ಸಂಭವಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଉପଭୋକ୍ତା ପଞ୍ଜିକରଣ ସମୟରେ ଏକ ତ୍ରୁଟି ଘଟିଗଲା | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka jingbakla ka la jia ha ka por ba pynrung kyrteng ia ki nongpyndonkam. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਉਪਭੋਗਤਾ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਦੌਰਾਨ ਇੱਕ ਗਲਤੀ ਆਈ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,వినియోగదారు నమోదు సమయంలో లోపం సంభవించింది. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,वापरप्याची नोंदणी करतना त्रुटी घडली. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E09,User Already Exist.,This User already exists.,यह उपयोगकर्ता पहले से मौजूद है.,हा वापरकर्ता आधीपासून अस्तित्वात आहे.,ഈ ഉപയോക്താവ് ഇതിനകം നിലവിലുണ്ട്.,இந்தப் பயனர் ஏற்கனவே இருக்கிறார்.,یہ صارف پہلے سے موجود ہے۔,এই ব্যবহারকারী ইতিমধ্যেই বিদ্যমান৷,এই ব্যৱহাৰকাৰী ইতিমধ্যে আছে।,આ વપરાશકર્તા પહેલેથી જ અસ્તિત્વમાં છે.,یہ صارف پہلے ہی موجود ہے۔,ಈ ಬಳಕೆದಾರರು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದ್ದಾರೆ.,ଏହି ଉପଭୋକ୍ତା ପୂର୍ବରୁ ବିଦ୍ୟମାନ ଅଛି |,Une u User u la don lypa.,ਇਹ ਉਪਭੋਗਤਾ ਪਹਿਲਾਂ ਹੀ ਮੌਜੂਦ ਹੈ।,ఈ వినియోగదారు ఇప్పటికే ఉన్నారు.,हो वापरपी पयलींच अस्तित्वांत आसा.
